bohf,rate2018,rate2019,rate2020,rateSnitt,innbyggere,pasienter,kontakter,kont_pr_pas,prim_rate,spes_rate,overlapp_rate,andel3_prim,pas_rate_barn,pas_rate_eldre
Finnmark,4.9569,4.8715,4.6510,4.8287,75 835,367,2 283,6.2216167121,0.6263,0.0907,4.1117,0.1297032872,4.1073,6.8473
UNN,5.5445,5.3807,5.5200,5.4807,194 125,1 076,6 571,6.1090796405,0.8637,0.1582,4.4589,0.1575842928,3.5802,6.5202
Nordland,5.5390,5.7640,5.4927,5.5979,137 389,774,4 122,5.3228583728,0.4367,0.3399,4.8213,0.0780112252,4.6802,6.7568
Helgeland,5.2703,5.0387,5.0441,5.1194,78 318,404,2 174,5.3775762572,0.7092,0.2436,4.1666,0.1385393766,4.4726,5.2528
Nord-Trøndelag,6.1180,6.0800,5.8970,6.0343,135 344,824,4 304,5.2258195063,1.0283,0.1901,4.8159,0.1704096742,4.5205,7.8388
St. Olav,5.1615,5.1924,5.2127,5.1896,330 219,1 710,9 181,5.3700526418,0.8097,0.2161,4.1638,0.1560248737,4.7214,6.8960
Møre og Romsdal,5.3215,5.3591,5.5027,5.3956,264 876,1 442,8 017,5.5609248555,0.6950,0.3755,4.3252,0.1288084175,3.9252,7.0761
Førde,4.9631,5.2496,5.0602,5.0895,108 694,561,3 059,5.4489311164,0.9144,0.2156,3.9595,0.1796607175,3.0392,7.8845
Bergen,5.0843,5.1135,5.0386,5.0790,453 298,2 294,9 486,4.1352804417,0.5805,0.4813,4.0172,0.1142942642,5.2933,5.6322
Fonna,5.1691,5.3487,5.2868,5.2670,180 479,949,4 708,4.9631061138,0.8983,0.2751,4.0936,0.1705488278,5.2626,4.6876
Stavanger,5.0132,4.9358,4.8806,4.9425,367 634,1 781,9 007,5.0582178959,0.6294,0.3449,3.9682,0.1273520205,3.7796,6.5224
Østfold,5.2938,5.3687,5.3276,5.3306,314 795,1 685,9 143,5.425039557,0.9743,0.3114,4.0448,0.1827814708,3.6988,5.8661
Akershus,5.3125,5.3610,5.3798,5.3512,570 206,3 032,16 130,5.3198109059,0.7365,0.3650,4.2497,0.13763323,4.2585,5.9030
OUS,5.4383,5.5391,5.4694,5.4833,274 939,1 453,6 881,4.7370353373,0.5847,0.5511,4.3475,0.1066320342,3.9022,7.7395
Lovisenberg,5.6011,5.5446,5.0703,5.4028,155 519,727,3 218,4.4239230064,0.5758,0.7195,4.1075,0.1065704767,3.3963,8.2492
Diakonhjemmet,4.6188,4.6583,4.5053,4.5951,142 052,649,2 578,3.9748201439,0.4424,0.6248,3.5278,0.0962824093,3.5190,6.0197
Innlandet,5.7043,5.8493,5.8493,5.8015,338 615,1 971,10 777,5.4688768606,1.0295,0.3054,4.4666,0.1774537852,5.5143,5.6379
Vestre Viken,4.9504,4.9881,4.9304,4.9566,485 097,2 386,12 834,5.3797680592,0.8091,0.3079,3.8396,0.1632374577,4.0052,5.5324
Vestfold,4.8511,5.0370,4.9122,4.9333,244 273,1 211,6 338,5.2351321586,0.7404,0.2688,3.9241,0.1500799376,3.8238,5.5339
Telemark,5.5555,5.6488,5.6930,5.6305,173 355,977,5 594,5.7279863481,0.6526,0.2724,4.7056,0.1159011447,4.8138,5.9468
Sørlandet,5.2283,5.1899,5.2706,5.2305,305 410,1 597,9 165,5.7374791319,0.7398,0.3138,4.1769,0.141446247,4.6023,5.1360
Norge,5.2117,5.2541,5.2165,5.2278,5330470,27 868,145 572,5.2236256638,0.7449,0.3378,4.1451,0.1424899572,4.3102,6.1357
